--- RAW OCR RESULTS ---
XY:[np.int32(289), 0]  conf:0.86  'Examination Assignment List with Friends'
XY:[np.int32(54), np.int32(50)]  conf:1.00  'SNo'
XY:[np.int32(206), np.int32(50)]  conf:0.99  'ID'
XY:[np.int32(390), np.int32(50)]  conf:0.82  'Name'
XY:[np.int32(618), np.int32(50)]  conf:1.00  'Course Assigned'
XY:[np.int32(908), np.int32(48)]  conf:0.84  'Friends (Close Friends from the List)'
XY:[np.int32(73), np.int32(95)]  conf:0.51  '1 .'
XY:[np.int32(198), np.int32(94)]  conf:1.00  '105'
XY:[np.int32(392), np.int32(94)]  conf:1.00  'Saad'
XY:[np.int32(579), np.int32(92)]  conf:0.77  'Compiler Construction'
XY:[np.int32(955), np.int32(91)]  conf:0.78  'Mahad; Saif, Ahmed'
XY:[np.int32(73), np.int32(141)]  conf:1.00  '2'
XY:[np.int32(198), np.int32(140)]  conf:1.00  '106'
XY:[np.int32(383), np.int32(137)]  conf:1.00  'Mahad'
XY:[np.int32(578), np.int32(136)]  conf:1.00  'Compiler Construction'
XY:[np.int32(937), np.int32(137)]  conf:0.76  'Saad, Hamad, Abdullah'
XY:[np.int32(72), np.int32(186)]  conf:1.00  '3.'
XY:[np.int32(198), np.int32(186)]  conf:1.00  '107'
XY:[np.int32(395), np.int32(183)]  conf:1.00  'Zaid'
XY:[np.int32(579), np.int32(185)]  conf:0.94  'Compiler Construction'
XY:[np.int32(957), np.int32(184)]  conf:0.98  'Yasir; Umer; Hamza'
XY:[np.int32(73), np.int32(233)]  conf:0.96  '4.'
XY:[np.int32(198), np.int32(232)]  conf:1.00  '108'
XY:[np.int32(371), np.int32(229)]  conf:1.00  'Abdullah'
XY:[np.int32(579), np.int32(231)]  conf:0.99  'Compiler Construction'
XY:[np.int32(931), np.int32(229)]  conf:0.49  'Mahad, Mustafa, Ahmed'
XY:[np.int32(73), np.int32(279)]  conf:1.00  '5.'
XY:[np.int32(198), np.int32(278)]  conf:1.00  '109'
XY:[np.int32(375), np.int32(275)]  conf:0.99  'Mustafa'
XY:[np.int32(579), np.int32(277)]  conf:1.00  'Compiler Construction'
XY:[np.int32(931), np.int32(275)]  conf:0.60  'Abdullah; Yaqub; Hamad'
XY:[np.int32(72), np.int32(324)]  conf:1.00  '6.'
XY:[np.int32(198), np.int32(324)]  conf:1.00  '110'
XY:[np.int32(388), np.int32(321)]  conf:1.00  'Umer'
XY:[np.int32(579), np.int32(321)]  conf:1.00  'Compiler Construction'
XY:[np.int32(971), np.int32(321)]  conf:0.59  'Zaid, Yasir; Asad'
XY:[np.int32(70), np.int32(370)]  conf:1.00  '7.'
XY:[np.int32(198), np.int32(370)]  conf:1.00  '111'
XY:[np.int32(392), np.int32(370)]  conf:0.64  'Yasir'
XY:[np.int32(579), np.int32(369)]  conf:0.98  'Compiler Construction'
XY:[np.int32(969), np.int32(368)]  conf:0.85  'Umer; Zaid, Fasih'
XY:[np.int32(70), np.int32(416)]  conf:0.99  '8.'
XY:[np.int32(198), np.int32(416)]  conf:1.00  '112'
XY:[np.int32(382), np.int32(416)]  conf:1.00  'Ahmed'
XY:[np.int32(579), np.int32(415)]  conf:0.90  'Compiler Construction'
XY:[np.int32(953), np.int32(412)]  conf:0.84  'Saad, Abdullah, Saif'
XY:[np.int32(73), np.int32(463)]  conf:1.00  '9.'
XY:[np.int32(198), np.int32(462)]  conf:1.00  '113'
XY:[np.int32(392), np.int32(462)]  conf:1.00  'Asad'
XY:[np.int32(589), np.int32(461)]  conf:0.92  'Artificial Intelligence'
XY:[np.int32(949), np.int32(457)]  conf:0.81  'Saif; Mustafa; Yaqub'
XY:[np.int32(64), np.int32(508)]  conf:0.98  '10.'
XY:[np.int32(198), np.int32(508)]  conf:1.00  '114'
XY:[np.int32(397), np.int32(505)]  conf:1.00  'Saif'
XY:[np.int32(589), np.int32(505)]  conf:1.00  'Artificial Intelligence'
XY:[np.int32(945), np.int32(505)]  conf:0.63  'Saad, Ahmed; Hamad'
XY:[np.int32(66), np.int32(554)]  conf:0.99  '11.'
XY:[np.int32(198), np.int32(552)]  conf:1.00  '115'
XY:[np.int32(390), np.int32(552)]  conf:1.00  'Fasih'
XY:[np.int32(588), np.int32(550)]  conf:0.91  'Artificial Intelligence'
XY:[np.int32(950), np.int32(550)]  conf:0.59  'Yasir; Hamza; Yaqub'
XY:[np.int32(66), np.int32(598)]  conf:0.44  '12.'
XY:[np.int32(198), np.int32(598)]  conf:1.00  '116'
XY:[np.int32(384), np.int32(594)]  conf:0.97  'Yagub'
XY:[np.int32(589), np.int32(595)]  conf:0.91  'Artificial Intelligence'
XY:[np.int32(951), np.int32(595)]  conf:0.68  'Mustafa, Asad, Fasih'
